ISIN,0,1,logo_url
DE000A0H08M3,BP Plc,13.29%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/OJ_C_61_of_2014_-_HU_Hungarian.pdf/page1-150px-OJ_C_61_of_2014_-_HU_Hungarian.pdf.jpg
DE000A0H08M3,Siemens Energy AG,12.57%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Siemens_Energy_logo_white.svg/330px-Siemens_Energy_logo_white.svg.png
DE000A0H08M3,Eni SpA,5.57%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Eni_wordmark.svg/180px-Eni_wordmark.svg.png
DE000A0H08M3,Equinor ASA,3.74%,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Equinor.svg/120px-Equinor.svg.png
DE000A0H08M3,Repsol SA,2.72%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/OJ_C_238_of_2015_-_SK_Slovak.pdf/page1-150px-OJ_C_238_of_2015_-_SK_Slovak.pdf.jpg
DE000A0H08M3,Vestas Wind Systems A/S,2.43%,https://upload.wikimedia.org/wikipedia/commons/0/01/Vestas_Wind_Systems.jpg
DE000A0H08M3,ORLEN,2.13%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Orlen_wordmark_logo.svg/400px-Orlen_wordmark_logo.svg.png
DE000A0H08M3,SNAM SpA,2.00%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Snam_Logo.svg/120px-Snam_Logo.svg.png
LU1834988278,BP Plc,28.95%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/OJ_C_61_of_2014_-_HU_Hungarian.pdf/page1-150px-OJ_C_61_of_2014_-_HU_Hungarian.pdf.jpg
LU1834988278,Siemens Energy AG,16.19%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Siemens_Energy_logo_white.svg/330px-Siemens_Energy_logo_white.svg.png
LU1834988278,Vestas Wind Systems A/S,7.39%,https://upload.wikimedia.org/wikipedia/commons/0/01/Vestas_Wind_Systems.jpg
LU1834988278,Repsol SA,7.37%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/OJ_C_238_of_2015_-_SK_Slovak.pdf/page1-150px-OJ_C_238_of_2015_-_SK_Slovak.pdf.jpg
LU1834988278,ORLEN,5.82%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Orlen_wordmark_logo.svg/400px-Orlen_wordmark_logo.svg.png
LU1834988278,SNAM SpA,5.38%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Snam_Logo.svg/120px-Snam_Logo.svg.png
LU1834988278,Aker BP ASA,3.43%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/AkerBP.svg/500px-AkerBP.svg.png
LU1834988278,OMV AG,3.37%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Omv_logo.svg/250px-Omv_logo.svg.png
LU1834988278,Galp Energia SGPS,3.29%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Galp_logo_2021.svg/250px-Galp_logo_2021.svg.png
LU1834988278,Gaztransport & Technigaz SA,2.97%,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Gaztransport_%26_Technigaz_logo.png/250px-Gaztransport_%26_Technigaz_logo.png
DE000A0F5UJ7,HSBC Holdings Plc,12.95%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Hsbc-logo.svg/500px-Hsbc-logo.svg.png
DE000A0F5UJ7,Banco Santander SA,7.62%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Logo_Banco_Santander_Chile.jpg/250px-Logo_Banco_Santander_Chile.jpg
DE000A0F5UJ7,UniCredit SpA,6.34%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Unicredit_logo.svg/400px-Unicredit_logo.svg.png
DE000A0F5UJ7,BNP Paribas SA,5.83%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Hello_bank_logo_2013.svg/120px-Hello_bank_logo_2013.svg.png
DE000A0F5UJ7,Banco Bilbao Vizcaya Argentaria SA,5.38%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BBVA_logo_2025.svg/330px-BBVA_logo_2025.svg.png
DE000A0F5UJ7,Intesa Sanpaolo SpA,5.12%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Logo_Fideuram_%E2%80%93_Intesa_Sanpaolo_Private_Banking_S.p.A.svg/400px-Logo_Fideuram_%E2%80%93_Intesa_Sanpaolo_Private_Banking_S.p.A.svg.png
DE000A0F5UJ7,ING Groep NV,4.20%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/OJ_L_200_of_2023_-_NL_Dutch.pdf/page1-150px-OJ_L_200_of_2023_-_NL_Dutch.pdf.jpg
DE000A0F5UJ7,Barclays PLC,4.01%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/The_Merger_Reference_%28Thomas_Cook_Group_Limited_and_Barclays_Bank_plc%29_Order_1994_%28UKSI_1994-2877%29.pdf/page1-150px-The_Merger_Reference_%28Thomas_Cook_Group_Limited_and_Barclays_Bank_plc%29_Order_1994_%28UKSI_1994-2877%29.pdf.jpg
DE000A0F5UJ7,Lloyds Banking Group,3.85%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/ISS056-E-44798_-_View_of_Earth.jpg/250px-ISS056-E-44798_-_View_of_Earth.jpg
DE000A0F5UJ7,NatWest Group Plc,3.56%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/OJ_C_219_of_2020_-_FR_French.pdf/page1-150px-OJ_C_219_of_2020_-_FR_French.pdf.jpg
LU1829219390,Banco Santander SA,12.43%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Logo_Banco_Santander_Chile.jpg/250px-Logo_Banco_Santander_Chile.jpg
LU1829219390,UniCredit SpA,10.42%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Unicredit_logo.svg/400px-Unicredit_logo.svg.png
LU1829219390,BNP Paribas SA,9.57%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Hello_bank_logo_2013.svg/120px-Hello_bank_logo_2013.svg.png
LU1829219390,Banco Bilbao Vizcaya Argentaria SA,8.76%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BBVA_logo_2025.svg/330px-BBVA_logo_2025.svg.png
LU1829219390,Intesa Sanpaolo SpA,8.38%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Logo_Fideuram_%E2%80%93_Intesa_Sanpaolo_Private_Banking_S.p.A.svg/400px-Logo_Fideuram_%E2%80%93_Intesa_Sanpaolo_Private_Banking_S.p.A.svg.png
LU1829219390,ING Groep NV,6.88%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/OJ_L_200_of_2023_-_NL_Dutch.pdf/page1-150px-OJ_L_200_of_2023_-_NL_Dutch.pdf.jpg
LU1829219390,Deutsche Bank AG,5.93%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Deutsche_Bank_logo_without_wordmark.svg/120px-Deutsche_Bank_logo_without_wordmark.svg.png
LU1829219390,Nordea Bank Abp,4.89%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/EUD_2013-8.pdf/page1-150px-EUD_2013-8.pdf.jpg
LU1829219390,Société Générale SA,4.52%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Comprendre_l%27environnement%2C_des_cl%C3%A9s_pour_agir.pdf/page1-150px-Comprendre_l%27environnement%2C_des_cl%C3%A9s_pour_agir.pdf.jpg
LU1829219390,Commerzbank AG,3.36%,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Commerzbank-Hochhaus_2010-09-06_00.jpg/250px-Commerzbank-Hochhaus_2010-09-06_00.jpg
IE00BKWQ0G16,HSBC Holdings Plc,7.54%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Hsbc-logo.svg/500px-Hsbc-logo.svg.png
IE00BKWQ0G16,Allianz SE,5.51%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Allianz_Umweltstiftung_Logo.svg/500px-Allianz_Umweltstiftung_Logo.svg.png
IE00BKWQ0G16,Banco Santander SA,4.41%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Logo_Banco_Santander_Chile.jpg/250px-Logo_Banco_Santander_Chile.jpg
IE00BKWQ0G16,UBS Group AG,3.91%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/OJ_C_219_of_2020_-_FR_French.pdf/page1-150px-OJ_C_219_of_2020_-_FR_French.pdf.jpg
IE00BKWQ0G16,Zurich Insurance Group AG,3.60%,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/OJ_L_328_of_2016_-_PT_Portuguese.pdf/page1-150px-OJ_L_328_of_2016_-_PT_Portuguese.pdf.jpg
IE00BKWQ0G16,UniCredit SpA,3.30%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Unicredit_logo.svg/400px-Unicredit_logo.svg.png
IE00BKWQ0G16,BNP Paribas SA,3.21%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Hello_bank_logo_2013.svg/120px-Hello_bank_logo_2013.svg.png
IE00BKWQ0G16,Banco Bilbao Vizcaya Argentaria SA,3.11%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/BBVA_logo_2025.svg/330px-BBVA_logo_2025.svg.png
IE00BKWQ0G16,Intesa Sanpaolo SpA,3.07%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Logo_Fideuram_%E2%80%93_Intesa_Sanpaolo_Private_Banking_S.p.A.svg/400px-Logo_Fideuram_%E2%80%93_Intesa_Sanpaolo_Private_Banking_S.p.A.svg.png
IE00BKWQ0G16,AXA SA,3.06%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/AXA_Mansard_Solid_Blue_Logo.png/500px-AXA_Mansard_Solid_Blue_Logo.png
DE000A0Q4R36,Novartis AG,13.31%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Novartis-Logo.svg/500px-Novartis-Logo.svg.png
DE000A0Q4R36,Roche Holding AG,12.89%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/EUD_2002-742.pdf/page1-150px-EUD_2002-742.pdf.jpg
DE000A0Q4R36,Novo Nordisk A/S,12.56%,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Novo_Nordisk_Kalundborg_20130729_003_%289720766202%29.jpg/250px-Novo_Nordisk_Kalundborg_20130729_003_%289720766202%29.jpg
DE000A0Q4R36,AstraZeneca PLC,12.15%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Zeneca_logo.svg/500px-Zeneca_logo.svg.png
DE000A0Q4R36,Sanofi,6.22%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Sanofi-aventis-Logo.svg/500px-Sanofi-aventis-Logo.svg.png
DE000A0Q4R36,EssilorLuxottica SA,4.79%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/OJ_C_49_of_2020_-_SK_Slovak.pdf/page1-150px-OJ_C_49_of_2020_-_SK_Slovak.pdf.jpg
DE000A0Q4R36,GSK Plc,4.64%,https://upload.wikimedia.org/wikipedia/commons/a/a3/Block_Drug_logo.png
DE000A0Q4R36,Lonza Group AG,2.90%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/OJ_C_96_of_2017_-_EN_English.pdf/page1-150px-OJ_C_96_of_2017_-_EN_English.pdf.jpg
DE000A0Q4R36,Haleon,2.61%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Haleon.svg/500px-Haleon.svg.png
DE000A0Q4R36,Alcon AG,2.49%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Alcon_Logo_2019.svg/500px-Alcon_Logo_2019.svg.png
IE00BKWQ0H23,Novartis AG,13.69%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Novartis-Logo.svg/500px-Novartis-Logo.svg.png
IE00BKWQ0H23,Roche Holding AG,13.60%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/EUD_2002-742.pdf/page1-150px-EUD_2002-742.pdf.jpg
IE00BKWQ0H23,Novo Nordisk A/S,13.28%,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Novo_Nordisk_Kalundborg_20130729_003_%289720766202%29.jpg/250px-Novo_Nordisk_Kalundborg_20130729_003_%289720766202%29.jpg
IE00BKWQ0H23,AstraZeneca PLC,12.82%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Zeneca_logo.svg/500px-Zeneca_logo.svg.png
IE00BKWQ0H23,Sanofi,6.39%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Sanofi-aventis-Logo.svg/500px-Sanofi-aventis-Logo.svg.png
IE00BKWQ0H23,EssilorLuxottica SA,4.85%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/OJ_C_49_of_2020_-_SK_Slovak.pdf/page1-150px-OJ_C_49_of_2020_-_SK_Slovak.pdf.jpg
IE00BKWQ0H23,GSK Plc,4.67%,https://upload.wikimedia.org/wikipedia/commons/a/a3/Block_Drug_logo.png
IE00BKWQ0H23,Lonza Group AG,3.06%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/OJ_C_96_of_2017_-_EN_English.pdf/page1-150px-OJ_C_96_of_2017_-_EN_English.pdf.jpg
IE00BKWQ0H23,Haleon,2.77%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Haleon.svg/500px-Haleon.svg.png
IE00BKWQ0H23,Alcon AG,2.63%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Alcon_Logo_2019.svg/500px-Alcon_Logo_2019.svg.png
DE000A0H08F7,VINCI SA,16.96%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Vinci_%28Unternehmen%29_logo.svg/500px-Vinci_%28Unternehmen%29_logo.svg.png
DE000A0H08F7,Compagnie de Saint-Gobain SA,11.57%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/OJ_C_266_of_2019_-_DE_German.pdf/page1-150px-OJ_C_266_of_2019_-_DE_German.pdf.jpg
DE000A0H08F7,Sika AG,8.61%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Logo_Sika_AG.svg/120px-Logo_Sika_AG.svg.png
DE000A0H08F7,Holcim Ltd.,7.95%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/OJ_C_387_of_2014_-_EN_English.pdf/page1-150px-OJ_C_387_of_2014_-_EN_English.pdf.jpg
